episode,total_reward,steps,checkpoints,laps,epsilon
626,1045.0,175,5,0,0.2841
627,1124.5,192,5,0,0.2836
628,210.0,44,1,0,0.2830
629,464.0,88,2,0,0.2824
630,425.0,78,2,0,0.2819
631,474.0,90,2,0,0.2813
632,522.5,109,3,0,0.2808
633,395.0,96,2,0,0.2802
634,1189.0,224,5,0,0.2796
635,878.5,175,4,0,0.2791
636,991.0,188,4,0,0.2785
637,454.5,109,2,0,0.2780
638,439.0,83,2,0,0.2774
639,438.0,85,2,0,0.2768
640,463.5,89,2,0,0.2763
641,399.0,75,2,0,0.2757
642,479.5,90,2,0,0.2752
643,494.0,94,2,0,0.2746
644,917.5,164,4,0,0.2741
645,165.0,35,1,0,0.2735
646,455.0,84,2,0,0.2730
647,1265.0,219,5,0,0.2724
648,1099.5,187,5,0,0.2719
649,1060.0,187,4,0,0.2714
650,444.0,84,2,0,0.2708
651,620.0,108,3,0,0.2703
652,449.5,84,2,0,0.2697
653,449.0,85,2,0,0.2692
654,1089.0,186,5,0,0.2687
655,1059.5,179,5,0,0.2681
656,1058.0,182,5,0,0.2676
657,579.0,102,3,0,0.2670
658,474.5,89,2,0,0.2665
659,989.0,175,4,0,0.2660
660,429.0,81,2,0,0.2654
661,434.0,82,2,0,0.2649
662,449.0,85,2,0,0.2644
663,879.5,152,4,0,0.2639
664,682.5,126,3,0,0.2633
665,478.0,93,2,0,0.2628
666,579.0,102,3,0,0.2623
667,458.0,89,2,0,0.2618
668,1068.5,183,5,0,0.2612
669,469.0,89,2,0,0.2607
670,469.0,89,2,0,0.2602
671,844.0,146,4,0,0.2597
672,486.5,95,2,0,0.2591
673,426.5,83,2,0,0.2586
674,886.5,178,4,0,0.2581
675,375.0,90,2,0,0.2576
676,526.0,109,3,0,0.2571
677,425.0,78,2,0,0.2566
678,604.0,116,2,0,0.2561
679,585.0,110,2,0,0.2555
680,1085.0,183,5,0,0.2550
681,874.0,152,4,0,0.2545
682,889.5,154,4,0,0.2540
683,909.5,158,4,0,0.2535
684,449.0,85,2,0,0.2530
685,580.0,100,3,0,0.2525
686,450.0,83,2,0,0.2520
687,1065.0,179,5,0,0.2515
688,600.0,104,3,0,0.2510
689,1110.0,188,5,0,0.2505
690,1179.5,203,5,0,0.2500
691,1329.0,234,5,0,0.2495
692,1114.0,191,5,0,0.2490
693,459.5,86,2,0,0.2485
694,444.5,83,2,0,0.2480
695,234.0,51,1,0,0.2475
696,399.0,75,2,0,0.2470
697,454.0,86,2,0,0.2465
698,454.0,86,2,0,0.2460
699,399.5,74,2,0,0.2455
700,409.0,77,2,0,0.2450
701,479.0,91,2,0,0.2445
702,579.0,102,3,0,0.2440
703,449.0,85,2,0,0.2436
704,649.0,125,2,0,0.2431
705,769.0,140,3,0,0.2426
706,574.5,127,3,0,0.2421
707,568.0,212,3,0,0.2416
708,158.0,54,1,0,0.2411
709,141.5,49,1,0,0.2406
710,479.0,91,2,0,0.2402
711,640.0,120,3,0,0.2397
712,1064.5,180,5,0,0.2392
713,939.0,165,4,0,0.2387
714,499.0,95,2,0,0.2382
715,579.5,101,3,0,0.2378
716,460.5,92,2,0,0.2373
717,879.5,152,4,0,0.2368
718,524.0,100,2,0,0.2363
719,1134.0,195,5,0,0.2359
720,474.0,90,2,0,0.2354
721,949.5,166,4,0,0.2349
722,879.0,153,4,0,0.2345
723,109.0,26,1,0,0.2340
724,459.0,87,2,0,0.2335
725,459.0,87,2,0,0.2331
726,589.0,113,2,0,0.2326
727,1084.0,185,5,0,0.2321
728,601.5,109,3,0,0.2317
729,449.0,85,2,0,0.2312
730,489.5,92,2,0,0.2307
731,464.0,88,2,0,0.2303
732,549.0,105,2,0,0.2298
733,414.0,78,2,0,0.2294
734,449.5,84,2,0,0.2289
735,597.0,116,2,0,0.2284
736,444.0,84,2,0,0.2280
737,454.0,86,2,0,0.2275
738,429.0,81,2,0,0.2271
